ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.9331,196.2222,17539.5749,9.2895,369.8411,362.7946,10.6324,67.0881,4.816,0
5.0927,248.783,27939.3101,7.3702,339.2582,558.7678,16.5235,90.1149,4.801,0
,151.5656,30429.3475,6.744,,284.853,11.1126,79.0056,3.1981,0
,257.9815,10828.8815,9.6452,283.421,471.602,16.7033,101.5839,4.9204,0
5.1999,205.4588,19086.7383,7.6888,293.8042,455.3797,9.2824,49.5974,3.0898,1
6.0611,228.4771,5240.8709,8.427,319.4004,389.3825,18.2809,,5.4916,0
7.9575,219.193,17962.1287,6.2708,300.1416,486.8475,10.2318,36.9559,3.3871,1
7.0476,148.79,26648.4753,10.9836,,446.8245,14.6772,80.3077,4.6308,0
6.8124,178.4971,23051.356,7.5389,,358.3409,13.6765,,3.9509,0
6.9247,149.4247,12164.1363,6.6008,290.8789,395.6153,14.2278,59.6708,5.1482,1
9.8373,176.766,17244.8657,7.375,422.2179,315.8074,10.2351,73.25,2.5932,0
9.9018,201.393,12669.0094,5.9188,298.4135,396.7049,12.0975,50.0623,3.9557,1
7.6511,175.3518,28497.915,5.9862,352.2671,386.3327,14.3303,,4.0248,1
6.3255,193.788,30182.9562,5.7168,,393.7426,11.9966,28.4162,3.6985,1
6.5232,223.9315,24806.2152,5.0,380.5356,302.3305,18.4146,89.5428,4.9486,0
,173.4961,28900.9293,8.4684,307.2608,409.1635,14.7854,65.9285,4.8978,0
6.5491,168.7063,16870.9012,5.8542,376.354,431.886,11.7702,40.6884,2.4706,1
8.5494,222.919,10597.3563,3.9476,248.5297,272.1775,17.1432,66.9176,3.8071,1
9.808,304.1361,30317.356,6.9818,348.422,431.6264,14.6738,61.284,5.596,0
6.7319,206.866,19356.6126,9.2685,,506.771,12.8718,59.8142,3.5855,0
6.9404,160.4282,25408.8969,7.6131,333.3791,538.8978,14.5623,62.0338,5.0929,0
11.5,192.9639,37209.2652,5.1778,,475.7517,17.4626,50.3905,3.3916,0
7.9447,222.6631,20560.5456,5.0081,,473.0359,8.2085,49.6059,2.8105,1
4.37,204.8696,19284.3481,9.9584,354.2676,464.105,18.7477,81.1253,4.2245,0
8.1483,262.0568,22427.5436,4.0722,337.3049,511.6752,18.6868,66.6613,3.0483,0
6.3848,168.7294,11586.9176,5.7703,,387.4997,15.0441,55.4461,3.8363,1
6.8505,248.2145,22548.1423,8.6063,352.1652,290.1353,16.8839,70.7404,4.324,0
8.2746,194.3751,25930.9561,5.0363,319.2904,437.042,10.6913,70.7308,2.6861,1
6.1696,208.1682,7108.2418,5.0261,,358.2502,9.4452,36.3004,4.3492,1
,143.7065,8081.9114,5.924,328.2449,403.1039,13.957,70.5707,3.013,1
5.7628,195.8645,14798.7589,8.0,257.0174,445.089,16.9755,,2.4806,1
9.6418,248.2349,20724.0559,6.7002,341.5581,486.5277,15.2017,69.3428,3.3268,0
5.7825,181.305,18293.3784,8.3384,353.7871,496.7302,11.1112,63.4428,3.175,0
,190.5664,42371.4719,10.345,320.9157,375.5202,19.3827,65.1715,5.3536,0
8.1626,151.7109,21550.2331,4.33,360.7971,525.9047,14.4268,41.4369,2.1844,1
7.5197,164.9703,22541.5318,7.1874,285.7221,381.5438,10.9937,58.8621,3.1563,1
5.7084,215.3607,20993.6725,10.2276,355.3025,438.585,14.7499,50.0,6.9,0
6.2665,227.2856,21547.3523,10.2751,,567.6485,18.1543,53.5294,5.2265,0
3.8965,107.3828,18064.4712,8.0434,,498.9758,12.2423,85.2387,4.7987,0
,220.7745,24355.008,6.4092,375.7478,485.4115,13.1644,77.0901,3.9805,0
6.1626,172.2598,10065.2176,6.9527,,448.0722,13.2665,94.2005,3.4638,0
10.5,187.914,19929.7815,5.7283,298.1691,561.0726,15.0011,57.2934,4.1633,1
5.9131,256.8864,22360.1903,7.5805,340.0214,435.5239,22.0585,84.6605,4.5698,0
7.4956,203.9964,16523.3489,6.8815,336.2214,318.6384,12.3045,52.9332,3.0068,1
8.5096,192.525,21616.4356,9.5624,360.0973,464.4677,11.3,94.7382,4.3674,1
7.4432,201.5065,25031.6645,11.3942,298.3346,369.5819,12.7062,76.0673,4.2784,0
6.8217,223.4477,15096.1811,5.28,325.6819,534.8579,14.3641,46.6057,3.4767,0
6.0499,164.9715,19134.2343,6.7046,,555.3992,9.1466,72.385,2.6239,1
5.4427,198.7815,23278.0122,7.6059,,301.6753,14.4044,59.9193,3.7696,0
4.9784,209.3989,19727.7294,7.2253,375.177,338.2981,17.1948,97.6742,4.5236,0
5.8149,193.9822,16167.7226,9.0067,312.2999,586.9944,11.9562,58.9463,3.9774,0
10.6795,217.0802,20048.9972,9.1716,461.859,432.6809,13.7189,86.1819,4.6593,0
8.2143,227.1875,19417.0914,6.3354,,412.6621,14.2098,64.0071,3.6119,1
9.1301,221.3749,27465.2892,11.146,298.6983,455.8823,12.0575,84.6358,4.0228,0
9.2783,220.6623,34008.308,5.0,381.6891,425.9855,13.9056,81.522,4.1941,0
8.7812,258.814,13417.9885,9.4542,349.4939,536.6538,12.9214,61.2206,5.8399,0
5.6779,195.9375,13455.4016,5.1016,,479.8724,13.6301,42.9262,4.045,1
7.9433,186.301,18528.5377,12.8138,391.7237,515.2217,10.7908,74.4568,4.529,0
5.6997,166.5399,10344.8506,3.9806,284.1535,318.4623,10.0244,39.7345,3.8784,1
7.23,100.001,28696.0598,8.4943,342.5909,377.0624,18.5345,82.562,5.2828,0
8.2844,181.2472,17261.2499,6.1253,,469.5432,16.2803,50.8953,3.107,1
7.5627,171.6743,13737.5851,8.8125,359.1748,508.5027,11.2026,51.3479,3.4368,1
10.6125,157.4828,29057.2751,8.4581,368.766,443.7759,18.0608,78.0165,4.1441,0
8.9675,235.2085,40359.5634,6.1234,373.6284,392.1269,14.1863,66.5934,5.0769,0
8.977,181.4973,15720.92,10.6232,397.0825,426.4489,13.545,66.9896,4.0,0
7.2345,203.0793,17230.0824,4.9713,332.4528,431.5717,12.9766,44.8794,2.6345,1
,242.111,12513.4828,7.6334,330.1889,351.5527,17.0956,60.4157,3.9222,0
4.9828,221.1025,12869.8435,11.8505,353.8614,364.8573,25.1365,77.8309,6.4036,0
5.9443,217.6288,27104.8241,7.404,,409.4634,9.3711,71.016,2.6104,0
11.5,218.0063,9863.4709,3.4271,317.145,498.3254,19.4411,23.0667,3.4578,0
7.9354,263.8279,22318.736,7.6489,419.1507,343.9921,16.773,64.0605,4.2903,0
,226.8764,20199.5217,8.0,300.0219,500.5336,11.2947,56.4969,4.3254,1
3.0,188.5291,9247.5016,6.5213,304.7764,425.2758,9.2403,66.0731,3.8611,1
6.73,173.2692,21505.1911,5.5627,,307.9626,17.1687,93.3526,4.4435,0
,221.8411,21264.2784,5.5731,,461.8863,7.8937,50.5262,4.1925,1
7.0764,219.6501,14566.2293,5.2605,,346.9028,19.231,80.5492,5.4097,0
8.7052,239.6862,31492.3431,6.7335,349.3374,348.4075,8.1524,34.5366,3.3818,1
8.1407,156.7853,28931.0292,6.7952,331.9581,445.2257,9.7767,41.6368,3.6166,1
6.865,176.3018,14262.4674,8.8838,,474.9281,17.9688,97.8026,4.7961,0
9.6839,177.8691,20522.7202,6.0423,312.1829,413.225,12.3924,72.3489,2.6362,1
,200.0036,12755.6392,8.2566,,441.8674,12.6526,60.9994,3.6224,0
7.8291,216.6113,29444.393,7.9754,323.4868,465.4638,23.2988,58.9014,4.1552,0
7.8942,225.8378,17642.3385,6.7464,324.3719,405.5539,14.199,65.2987,3.983,1
9.0378,165.9566,14419.1752,8.2917,349.1039,510.0573,18.2002,78.2462,4.5816,0
,221.0826,2454.1609,6.4822,,374.6194,11.4057,46.308,2.7936,1
8.8624,222.0514,27382.5492,7.3199,324.2271,426.6511,12.329,47.8874,4.966,1
8.1829,206.5279,17224.9119,7.7841,340.6396,543.9128,17.1871,33.5537,3.7079,0
6.3455,228.1314,29143.8335,6.7306,,384.2744,10.7807,56.9787,4.5434,0
6.7261,229.4451,20513.499,7.4133,296.334,306.8327,7.6362,65.899,5.0899,0
5.7301,163.0651,28093.8231,4.3336,248.6305,520.9481,8.9863,62.5554,2.2261,1
9.8691,233.729,27366.4705,6.2909,408.7201,238.679,11.6076,89.8374,4.9815,0
7.6658,170.133,26596.564,8.1309,,377.7995,15.5837,68.4263,3.131,0
5.1452,164.2944,17067.7313,7.9078,364.5363,462.8083,16.289,55.6562,1.5871,1
10.4018,210.7857,33164.7885,5.616,,362.7477,14.2307,77.0219,2.804,1
4.9197,141.003,24252.9679,8.9757,312.8056,357.7534,14.3528,76.9243,5.3373,0
9.6975,218.7651,17313.979,8.4833,319.2574,346.9404,17.6484,85.8792,4.8336,0
6.8564,239.1031,18173.3452,9.3756,386.139,392.4336,16.7936,67.982,4.5693,0
8.1822,185.0956,25229.0643,7.106,410.5063,409.5498,15.804,97.3886,1.6927,0
7.0497,190.9722,19555.6408,6.2,309.4368,422.3214,10.086,69.28,3.9624,1
7.9394,167.8583,27983.4205,5.402,,484.1008,10.6699,46.3522,3.5585,1
7.6343,217.016,13386.4451,5.3601,304.7597,533.7522,11.6794,57.3658,3.4238,1
8.9914,215.9352,32952.81,6.3032,362.1964,511.4937,12.7213,79.3541,3.7996,0
6.7791,206.7551,22070.1136,11.149,378.8065,424.2161,12.1374,81.9077,4.761,0
6.867,189.4038,8174.4773,7.5642,345.4655,466.1096,16.3426,61.3279,4.3059,1
6.8499,161.2366,26988.4168,7.142,,208.372,12.5046,72.7811,2.9552,1
9.1932,236.7637,22661.881,7.5487,,423.504,6.3541,40.9544,3.5275,1
7.4767,197.9065,16855.8936,6.0509,,465.613,11.5885,48.2735,3.6928,1
5.4599,182.1653,23485.0802,6.606,,371.9708,17.3914,44.5722,3.6078,0
5.7262,163.5334,9426.3096,5.7184,388.3336,487.0282,18.7902,103.605,3.7667,0
,246.9187,21889.8128,4.976,,411.0726,16.7164,27.2902,3.9693,1
11.5,206.6374,18415.2248,7.4595,372.3036,271.2231,12.9501,51.248,3.4176,0
,200.2862,33231.7693,6.2062,368.7218,475.9397,18.1825,79.0645,5.9439,0
,202.2196,24443.3812,10.0353,330.6455,411.0515,11.9563,80.3089,3.4013,0
,167.0593,39942.6077,6.4111,342.1019,557.9045,10.8266,77.3794,4.7831,0
,142.5347,14230.6274,6.0759,284.9844,466.3769,15.6972,87.234,4.6808,1
,182.8407,19575.5445,4.7898,319.2425,559.7378,25.6676,86.9542,4.3665,0
7.7994,181.9071,26644.1361,7.9802,,363.3797,12.6948,107.3527,4.297,0
6.5835,235.7367,10222.5527,9.3012,321.9065,507.7973,15.4963,68.7691,5.9344,0
8.3545,190.4468,33947.7094,6.0931,,371.1331,20.0339,91.9944,6.428,0
8.4452,227.2349,3333.7964,10.673,309.6942,388.7789,19.308,74.1571,4.564,0
5.9856,184.6272,14940.4365,3.9521,366.3706,468.9246,9.3975,66.7515,4.624,1
7.6659,184.7953,3282.9908,3.675,,278.3938,20.0986,51.5194,5.5117,0
8.0866,258.6576,19808.8753,5.5839,334.2327,378.2458,13.3536,85.9711,4.168,0
6.7633,263.8859,26445.7283,10.095,,444.3017,14.2651,56.8955,5.55,0
8.1687,190.0205,7783.3556,3.2363,357.5444,344.9839,9.2887,56.9849,4.1986,1
7.0473,181.1256,15297.7999,9.0547,359.2499,585.1299,16.496,79.525,5.3954,0
8.7845,161.2729,7086.755,8.105,370.7381,287.2368,14.8841,51.7733,4.311,1
4.4306,145.415,20572.9418,10.8368,381.2562,601.9306,10.0,87.2782,5.2427,0
11.5,207.0514,14703.5515,6.5896,380.6265,609.9543,12.3307,77.2143,4.7433,0
6.4017,207.8647,16667.2471,6.092,,428.5036,14.5744,65.4155,3.6166,1
5.2119,127.7324,20529.5326,5.3665,344.5791,349.8234,14.0644,,3.712,1
,166.705,17099.083,9.1911,,368.3225,13.0473,62.4907,3.9455,1
,231.3241,25631.9247,6.1267,381.3153,553.3686,19.7824,73.664,3.2448,0
8.7216,171.5703,32123.0026,4.1144,,489.7452,14.9468,55.8016,2.8438,1
3.833,283.824,11916.6028,8.3781,,459.5593,8.3199,103.698,3.3377,0
5.9921,198.7815,22817.939,4.7957,347.1781,305.2824,14.4139,45.8155,3.0116,1
8.7427,219.0208,19126.3914,6.5748,321.9135,436.2849,19.4487,56.6248,5.1333,0
6.3256,227.4851,10205.216,5.22,319.5165,387.2059,11.8901,51.5891,3.9169,1
7.3247,171.7706,29498.3845,5.3781,421.9665,502.3114,9.7221,53.7877,3.4066,1
10.0589,196.9719,32948.9559,6.9402,300.8013,394.8565,18.4289,46.0326,4.6891,0
,207.6206,14386.2663,7.4148,,385.2265,13.7699,78.225,3.0881,0
7.164,202.6057,5919.8733,5.2019,322.0769,372.6355,11.3932,73.6238,3.3246,1
,213.9639,33691.0341,9.3064,365.8584,396.0253,12.5371,80.5364,6.1457,0
7.7929,248.5978,32435.9895,7.1855,250.1418,427.2186,11.5985,71.5976,3.0867,1
8.4015,188.1677,23409.8324,7.0083,320.5022,394.3403,9.2702,28.4162,4.4695,1
5.368,173.1772,25580.0823,5.853,246.6725,346.1306,16.3471,,3.0627,1
6.6194,180.7351,13492.7122,6.0653,310.2023,385.4671,11.6747,51.147,4.6555,0
7.6893,148.3963,7977.0325,12.0653,384.8366,476.6453,19.8969,53.0365,3.9136,0
6.0663,162.3093,400.0,5.5899,348.7404,432.6354,15.7274,50.8515,4.8784,0
,151.9209,6403.7183,7.8055,312.9246,562.5206,12.4187,63.7345,4.8168,0
7.9737,176.0626,13575.4375,4.7282,,328.7637,15.3848,68.4939,4.1779,1
6.3709,157.5167,32526.5774,6.3959,296.5903,487.5826,17.3534,98.639,3.3438,0
6.1138,215.8103,38229.8836,6.4917,,416.9668,19.9437,65.4189,4.4838,0
7.4651,199.4907,14378.6168,4.4127,,434.9662,17.0471,64.8899,3.4499,1
8.9416,205.4219,21782.0545,4.6164,263.0232,394.4277,10.9802,74.1445,3.0671,1
,196.8478,25973.0737,7.7699,377.3956,435.9268,16.4404,79.406,4.9096,0
6.843,167.2089,11197.7928,5.3803,320.1139,340.7871,8.184,48.8563,2.9815,1
,210.1063,27488.7746,9.428,321.8957,494.8874,15.7022,86.4139,4.9672,0
7.4754,195.0833,25960.7736,9.8808,414.5344,463.4574,20.1333,87.3468,3.7038,0
,169.6407,14740.6196,6.339,374.4085,396.6522,9.8899,82.1951,2.7756,1
6.2353,207.2991,28695.9416,8.4487,,474.3805,12.1641,85.6381,3.7928,0
6.4477,191.3308,12017.6148,6.5827,227.1047,366.2871,13.0844,47.8768,3.429,1
7.3344,289.2264,24695.9837,8.8783,426.8239,456.551,18.4429,83.4518,3.5648,0
9.5931,204.3948,19082.6592,3.9075,267.4826,492.9316,13.2075,84.1326,4.4259,1
7.5375,189.9279,26070.8663,5.2882,253.4589,444.3139,11.7562,45.8403,3.4404,1
,157.2512,4743.7837,5.6748,387.6205,352.4565,14.5087,54.7914,3.326,1
4.9363,233.7787,26142.9071,6.2877,403.6415,331.0583,20.8144,93.6887,4.6367,0
8.3101,180.1421,36565.7014,6.9744,320.7156,419.4446,13.9238,62.3531,3.5988,0
6.3606,169.7492,29070.7256,8.8748,332.7414,388.5628,18.0688,75.0908,4.0822,0
6.4448,205.345,19269.258,5.7299,,400.4857,11.5108,55.5098,3.7459,1
9.802,204.9581,31573.4375,9.0658,390.8447,449.0408,19.8143,50.0,4.2125,0
8.8597,199.9912,33952.9606,8.4813,414.1454,455.9241,15.3047,66.4524,6.124,0
6.2393,154.7305,26686.0769,8.9629,354.6899,429.439,19.6424,76.2089,3.8277,0
,283.3645,35021.5865,8.4154,405.7394,340.06,10.9026,73.8677,4.3815,0
7.5637,171.5082,26897.2268,10.3715,324.3306,643.953,17.1103,62.7376,4.0556,0
7.8657,209.3315,12404.5942,7.2825,,538.19,23.6995,94.6547,4.7008,0
4.7514,180.4795,11723.9812,7.2627,337.7602,259.7928,11.9352,77.0886,4.7968,1
5.8059,152.9975,25706.8293,12.7039,433.3647,552.2699,11.5489,83.6027,3.9758,0
6.4099,186.0982,12553.5139,4.8217,332.3028,284.9036,9.756,47.1689,2.4873,1
10.4576,158.6153,12840.85,8.8313,,217.4564,17.9057,86.4989,5.2353,0
6.3295,190.0686,24536.1426,7.6908,,363.0349,12.0273,75.6993,2.7521,1
7.3357,220.8096,21653.4173,4.2569,,400.5676,9.9964,37.0081,3.1976,1
8.6772,154.7579,26053.1459,5.5327,365.5734,509.0364,20.9874,,5.4568,0
,229.763,24754.3651,7.9923,356.8154,375.945,15.5178,52.8681,2.5459,1
8.0261,231.1761,21764.9276,8.8552,373.1976,493.0498,22.4885,77.3443,3.5136,0
10.511,167.8818,16998.2977,6.372,367.3376,375.7619,18.8986,63.5258,4.3776,0
9.8519,278.4783,25727.0502,7.6393,387.6535,562.0559,14.454,76.8237,5.5008,0
6.3617,150.0167,16569.7846,5.5167,274.574,421.0145,16.1465,76.2494,4.0106,1
8.136,216.2937,29594.4671,5.192,330.4498,419.2832,12.1881,33.3549,3.5491,1
9.3733,156.1751,14060.408,5.6042,,432.1874,7.0596,69.6328,3.9359,1
7.802,146.0212,33000.4492,9.9745,274.8948,366.692,14.311,76.5981,4.8222,0
6.4003,160.6084,16665.9966,5.2997,362.8181,480.6454,13.0231,52.3347,4.0227,1
6.7845,189.4614,23790.9222,11.3854,,427.2971,15.024,69.1594,3.2958,0
5.8442,235.5057,24448.6849,7.8954,424.1512,442.7673,18.7857,70.8215,4.5011,0
9.0026,172.3032,5753.7783,4.4616,295.7,408.8811,14.5167,72.5056,3.6414,1
6.1654,160.1205,30208.9799,6.1931,413.6743,502.8832,16.0194,76.8573,4.2944,0
6.4629,225.4192,25779.5024,5.5247,320.1051,562.7393,9.3392,,3.4624,1
6.3257,223.3334,28871.7238,9.0063,324.4189,620.2639,17.1532,64.2595,5.0603,0
9.5073,204.9046,20738.8152,8.3926,275.5238,307.7151,20.9985,64.1155,6.1259,0
3.3538,194.0513,12423.9944,8.8425,,456.5936,19.6927,82.1707,5.0014,0
7.9179,160.3863,24435.8535,9.0011,306.9315,475.4649,19.4062,56.8146,5.7686,0
,190.3437,36506.6808,9.0453,323.6812,609.2281,16.3399,52.8506,3.9319,0
7.9315,228.7193,14970.9274,6.8039,346.3171,378.6691,15.7832,64.7521,3.1555,1
9.1649,147.7955,12796.7877,6.2328,349.249,397.767,12.9664,46.9649,2.7737,1
7.4793,218.7516,14919.1893,5.5221,,414.4963,14.3695,50.8329,3.8593,1
2.0,193.3287,31284.2899,8.9546,325.631,515.5049,16.4772,99.3928,3.7791,0
7.8157,164.5761,18047.134,6.5795,266.5221,467.1785,19.4737,,3.5402,0
6.4954,246.1532,13148.2879,6.5173,,432.3527,16.0656,77.6616,3.7829,0
7.7397,187.0625,17408.7318,5.0392,314.8503,479.1745,11.0335,45.3176,4.4346,1
4.6634,141.9919,34330.884,5.5116,,532.0236,11.2383,,2.8521,1
5.1218,159.6444,25025.903,11.3422,412.4552,446.3646,16.3859,74.3863,4.3717,0
9.7132,220.6973,16846.8504,6.8499,293.8503,324.0437,12.62,84.2413,4.9774,0
7.4071,215.222,17787.7893,5.6422,,414.1342,11.4875,49.5982,4.3371,1
8.0262,164.8924,5448.459,5.4978,351.0623,508.1187,9.3175,57.3595,2.8253,1
7.2105,248.0546,19741.3779,5.5207,,355.869,14.6428,70.1129,3.4891,1
6.2974,183.8612,28628.1587,6.3503,295.6782,429.3556,10.0666,89.1633,3.92,0
8.1987,215.3499,26110.8499,8.3062,354.1942,490.3984,19.7323,57.7489,5.8169,0
7.8012,238.3512,22871.7669,10.2771,357.4739,423.9887,17.5919,82.8192,5.1757,0
7.68,195.6798,25631.4555,8.3939,335.642,344.6819,8.9491,66.0682,3.7661,1
6.1807,227.2666,41765.4996,8.8876,327.5312,410.1181,17.717,67.3843,5.3255,0
7.2532,209.2163,11205.6177,6.0362,,296.1879,9.7736,68.4265,3.0717,1
8.8248,247.611,15049.2448,5.5326,,368.5845,15.2032,35.4703,3.5366,1
4.0724,194.9776,15547.2743,8.1048,333.8077,560.4303,19.4626,75.5486,4.2684,0
4.9721,235.3362,24104.7865,10.9934,307.5968,463.2721,15.0485,71.5268,5.6024,0
8.2299,230.2813,13160.3187,8.9637,367.289,556.6317,21.0517,79.2287,5.2605,0
6.5232,214.8361,38294.2187,6.4366,376.3543,424.2568,17.5958,63.3538,4.3976,0
7.9223,188.2783,21543.6809,6.3219,,487.6365,9.7413,54.4705,3.4678,1
3.5161,203.2031,36178.9127,8.9023,350.0927,446.1484,11.3887,66.7178,2.9387,0
4.8501,257.6129,5373.1611,7.6552,344.4167,376.0003,19.1239,82.2388,4.44,0
7.3001,193.459,19289.302,8.4427,319.2092,471.5507,16.1458,77.7718,3.1817,0
8.2681,187.1638,27071.3093,10.4392,300.0369,263.8856,21.6565,,5.4077,0
5.7419,165.2819,23467.3228,3.5153,302.3754,340.6904,8.0511,59.2914,3.1585,1
8.3667,179.1065,15879.345,7.9032,,267.445,11.3966,63.0894,4.301,1
5.7959,252.4681,28877.6213,11.6572,402.0053,541.3591,14.6978,84.7473,4.4656,0
8.4769,236.4348,22009.0287,6.5232,317.7782,494.8097,15.0016,75.2029,4.9138,0
6.023,203.7265,36301.4133,4.875,395.8186,260.0926,19.0213,109.4294,3.3679,0
10.1568,229.9248,29186.2301,10.2209,309.624,372.1512,12.9015,65.1164,3.1671,0
,223.9288,20962.2724,7.0566,379.692,441.9339,21.9984,79.2423,4.2221,0
7.7725,184.6214,23483.1754,5.0,,519.7949,10.1515,,5.4939,0
5.9364,128.5225,31195.6541,8.4704,,417.4276,10.7452,81.6493,5.0161,0
6.0296,206.0891,14049.2826,11.0209,376.7347,472.6075,11.913,62.689,4.2097,0
7.7669,240.9831,21700.7921,5.4089,,553.7564,10.5402,40.4423,3.0988,1
6.7658,195.8453,16089.7527,4.0048,284.537,369.4659,7.5088,63.6415,2.4743,1
,173.0861,29057.7886,8.1117,324.3692,362.0675,13.98,89.2584,4.9202,0
8.5591,198.378,6987.8068,5.6478,300.4449,394.0851,17.7419,39.5412,2.7664,1
9.1948,260.5293,22561.5422,7.1777,319.7672,328.9364,14.9342,51.4455,3.3219,0
7.639,184.0923,24270.2594,6.3905,334.8067,306.5155,14.3906,52.7756,2.926,1
,198.3261,31020.6976,9.1704,343.5655,342.7855,21.1129,70.6675,4.8011,0
5.5569,218.2837,14154.0952,8.0365,309.1126,477.2559,16.7399,46.8716,3.4813,1
6.9995,173.0816,14962.2051,5.5542,260.8424,546.1156,10.0843,63.7429,1.9212,1
6.234,157.4245,43828.3713,9.3214,,428.6051,16.9184,104.8269,6.4176,0
7.8335,196.3628,27995.5833,6.5635,370.7427,391.3515,12.0526,48.6959,4.2491,1
,219.4684,21772.9114,8.5204,384.7626,659.9193,19.7788,88.6495,4.6832,0
,110.3653,32632.1785,8.9336,347.8388,410.5912,13.9974,51.3986,4.4719,0
4.1369,203.3151,22414.5739,7.2358,279.1919,381.4938,18.7942,54.3925,3.8997,0
,194.0298,11962.9916,6.4489,,417.7669,11.0348,97.6728,2.8162,0
5.6495,149.1486,41309.9214,6.0209,,384.852,16.8203,51.2436,6.0536,0
7.8141,195.0632,29431.1462,7.5577,399.0432,386.4032,11.3855,54.4563,5.6337,0
,186.5956,10241.7791,5.4972,352.3018,496.2521,10.0475,71.478,3.3632,1
6.4868,156.3394,25973.4272,8.6339,392.3992,538.496,23.0787,,5.5602,0
7.0642,192.3443,400.0,6.2362,337.654,473.3741,13.1643,53.7241,3.16,1
5.5462,196.4987,21326.9085,6.0379,317.1025,308.5728,8.2246,50.7052,3.3928,1
5.9566,195.2203,22616.7939,8.7617,293.4942,559.4036,18.9613,90.5892,3.7538,0
6.2424,224.8307,33812.8966,8.0737,373.0864,344.2619,20.0924,57.457,3.6516,0
8.8368,209.0296,9633.5225,9.2416,326.4292,521.7991,13.0973,70.0025,5.2506,0
7.873,186.9616,33304.2659,6.9932,301.9094,399.5246,8.2872,,4.4019,1
,157.6152,29637.0023,5.6484,327.49,572.2235,17.4376,102.1788,4.3398,0
,250.4583,24532.4621,6.0242,302.7221,476.9498,11.9008,31.123,4.1612,1
7.0835,166.6044,14251.4934,5.5306,269.8715,326.6025,14.9989,69.8089,3.8581,1
6.4334,191.4248,23042.3531,7.3682,299.4443,476.5231,13.1966,,2.7437,1
6.2235,175.3688,9848.4818,5.0388,358.1676,259.7941,13.0088,84.1429,4.4188,1
,175.779,23226.8631,11.0866,307.8378,402.5706,18.8545,78.7238,4.1927,0
9.5714,204.8971,25002.6791,5.0,347.0263,621.6172,12.9447,70.7991,4.8844,0
,212.2738,24706.2978,8.098,,400.5814,13.7043,94.9482,4.2501,0
7.8339,204.1911,21195.2817,5.427,322.1813,372.239,12.357,87.0417,3.2537,1
9.567,161.0402,6326.3546,4.766,336.7431,536.4822,17.7604,70.8968,4.3132,0
6.5373,122.6882,32138.5191,8.0655,382.1265,479.0426,8.0419,,3.0243,0
7.075,182.9209,13310.7827,5.2901,303.1462,384.5341,15.9314,59.2574,3.1314,1
6.398,161.9831,18072.7784,4.4085,398.8186,405.9211,15.3728,62.0419,3.0393,0
9.2296,188.1063,13303.9291,6.8008,335.1293,391.0217,11.3421,60.5425,4.0574,1
6.2271,165.6096,3042.4038,6.5285,,594.1097,13.098,54.7816,3.272,1
6.3212,136.2068,31575.2343,5.3361,268.4271,431.5734,14.977,50.2957,3.7213,1
6.4182,178.1939,20723.4539,6.0563,237.6003,449.4417,22.1278,66.6534,3.227,0
7.1536,176.134,18633.9693,6.4197,373.6409,300.4375,18.3562,66.8178,4.3023,0
,157.6787,15586.0303,3.897,294.1565,367.8469,14.2958,65.0376,3.2668,1
8.3852,183.8785,47290.9716,10.2603,300.9282,444.3721,10.0,51.8871,4.3376,0
7.2744,207.4771,18680.5497,5.6098,,418.5537,11.213,59.5697,2.8064,1
9.9058,202.0567,43013.1408,10.1442,338.5158,393.4951,19.5787,55.3666,4.5921,0
,230.7823,21494.3482,8.4289,371.6018,489.9514,10.5557,57.7936,4.7608,0
7.0466,143.8725,13016.7711,8.2775,316.0642,388.7811,12.6171,54.8512,3.7839,1
6.3775,181.5441,20494.8424,11.1271,,472.1137,15.4612,74.9726,4.321,0
7.1208,172.1665,27510.7182,12.2588,292.7795,536.7411,19.2357,89.2596,3.6645,0
8.4913,179.1212,22030.3138,10.4017,441.6348,556.7579,18.7695,84.8877,4.7968,0
7.5618,220.8219,21228.3514,6.9836,383.5159,577.2067,17.3455,80.602,3.4609,0
6.7558,172.0908,11475.3673,5.6119,329.4067,444.0036,11.7557,63.2062,3.1968,1
,152.613,33812.6159,5.3813,319.5473,540.5193,16.5716,90.4348,3.9005,0
7.838,208.297,19522.8291,9.9631,,536.9224,19.3882,81.231,4.0761,0
7.9504,246.605,25477.8419,7.483,367.6066,407.0695,18.0414,86.8391,5.1943,0
9.8906,201.2965,29371.3204,6.4733,,428.0028,21.7787,78.7163,4.5997,0
5.7738,244.9811,33162.9399,8.6069,325.9275,508.6198,15.9019,65.7777,4.1402,0
10.6018,243.2015,22512.1167,6.6816,240.0604,469.6649,15.9846,96.0967,2.9298,0
5.0306,179.9965,37832.73,5.9675,392.1612,357.4266,18.8678,84.3584,3.6743,0
5.8748,229.0983,12738.0799,5.2485,271.5502,337.1687,14.5991,57.5298,3.1415,1
4.1652,219.6945,43338.4166,11.3251,388.8141,499.5199,5.4377,70.4996,4.7396,0
7.3036,198.2868,19346.7024,7.7491,,459.0015,15.8991,,5.1765,0
4.4024,194.0602,11874.9327,5.0786,324.8962,392.7158,10.7835,67.3727,3.459,1
8.7206,169.0279,19242.8228,6.7892,346.6268,288.3074,21.9998,65.992,4.5286,0
